parent_channel,child_channel,out_deg
Ahdy,"['eufhaye', 'MLT Magic Tricks']",13
AiirSource Military,"['Voodoo1650', 'Voodoo1650', 'Christopher Kirk', 'Zsolt Szekretár', 'bobsurgranny', 'UK Defence Journal']",13
AirDrop Tactical,"['PoliceActivity', 'CaughtOnTapeTV']",13
Airforceproud95,"['Worldaviation 4K', 'Sergey322']",13
Airplane Central,"['THE TOP 10', 'X Pilot', 'Scott Anthony', 'Airplane Central', 'Airplane Central', 'Airplane Central']",13
Aiysha17,['Dead Parrot'],13
AjmalNiaz1,"['GuerrillaLawfare', 'filip4900']",13
Akilah Vernita,"['Дмитрий Васюков', 'Alaska Film Archives']",13
AkkarinTube Compilations,"['THE TOP 10', 'Machine World']",13
AkoSiNiEk,"['Miz July', 'Kirz Kidz']",13
Al Jazeera English,"['GE Aviation', 'CNBC', 'DW Documentary', 'The New York Times', 'Al Jazeera English', 'Channel NewsAsia', 'Al Jazeera English', 'Al Jazeera English', '16x9onglobal', 'Al Jazeera English', 'Al Jazeera English', 'Mark Wiens', 'Al Jazeera English', 'Al Jazeera English', 'Al Jazeera English', 'Al Jazeera English', 'Al Jazeera English', 'Al Jazeera English', 'Documentarian', 'Denver7 – The Denver Channel', 'CGTN America', 'CBC News']",13
Alain Le Francois,"['Konner L.', 'Alain Le Francois', 'Alain Le Francois', 'Alain Le Francois']",13
Alan Eichler,['balsamwoods'],13
Alan Goodhoofd,['Rumble Viral'],13
Alan Whistler,"['The Royal Institution', 'The Royal Institution']",13
Alanna Light,"['Michael Illingby', 'Shelli Scott']",13
Albert Nerenberg,"['TEDx Talks', 'Sunday Night']",13
Alchay Archy,"['doctrDave', 'doctrDave', 'doctrDave', 'Joseph Stefanelli', 'Archy Moz', 'Archy Moz', 'Archy L', 'gregsmithsr', 'metax', 'Archy Moz', 'Missy Logo', 'Archy L', 'Zachary Sutton', 'Missy Logo', ""MaTeOWaNnA ReMaSt'RzEr of LoLs"", ""MaTeOWaNnA ReMaSt'RzEr of LoLs"", 'Archy L', 'Archy L']",13
Alessio Rastani,"['Robert Kiyosaki', 'TEDx Talks']",13
Alex Dilon,"['TheLaughPlanet', 'MartSimm']",13
Alex Floyd,"['Badass Diesels Club', 'breakingbad', 'Alex Floyd', 'Alex Floyd', 'Alex Floyd', 'Education for all']",13
Alex Gayer,"['Seacoast Church', 'The Dave Ramsey Show']",13
Alex Olmstead,"['Yellowstone Guide', 'macn0007']",13
Alex Patrick,"['Johnny Carson', 'spookylorre']",13
Alex Rodriguez,"['TheEllenShow', 'Top Ten Daily']",13
Alex Swan,"['Jordan Peterson Fan Channel', 'True American News']",13
AlfieAesthetics,"['Woodworking TV', 'Survival Know How']",13
Alfred Cirerol,['Best Self Magazine'],13
AlfredStreetHD,"['AlfredStreetHD', 'AlfredStreetHD']",13
AlienAmerican,"['Manufacturing Intellect', 'CaNANDian']",13
AlienScientist,"['InspiringPhilosophy', 'AsteronX']",13
All Saints Church Pasadena,"['Emory University', 'brother jeff']",13
