parent_channel,child_channel,out_deg
Ancient Apocalypse,"['Ancient Apocalypse', 'Ancient Apocalypse', 'Ancient Apocalypse', 'CAPTAIN BLACK']",13
Anders Jacobsson,"['Matti Holden', 'Russell Peters']",13
Anderson,"['Spot Of The Match', 'Anderson', 'Anderson', 'shayhawkify', 'Anderson', 'Steve Adubato']",13
Andrew Camarata,"['frank howarth', 'Andrew Camarata', 'Andrew Camarata', 'RR Buildings', 'Geary Lewis', 'Andrew Camarata', 'Cleetus2 McFarland', 'CADDO Lawn Care']",13
Andrew Lynch,"['LettermanTV', 'Late Show with David Letterman', 'ohlookiewhatifound', 'TheEllenShow']",13
Andrew Yang for President 2020,"['Jimmy Kimmel Live', 'Andrew Yang for President 2020']",13
Andrey Polubryuk 222,"['Russell Wilson', 'Andrey Polubryuk 222']",13
Andro Soft,"['Don Lacasito', 'NOVA FM']",13
Andy Atkins,"['Politics and Prose', 'Aegon Targaryen']",13
Andy Jame,"['SYRGO CS:GO', 'Đan Linh', 'Paternity Court', 'Andy Jame', 'Full Frontal with Samantha Bee', 'Andy Jame']",13
"Angel J. Storm, Ph.D.","['Stephanie Lyn Coaching', 'Petra Van Deijl']",13
AngelDocs,"['The Royal Family', 'Красин']",13
Angelo Vlog,"['Etneb Etneb', 'Pretty Mary']",13
Angie Atkinson,"['RICHARD GRANNON SPARTANLIFECOACH', 'GRCCtv', 'GRCCtv', 'Angie Atkinson', 'Angie Atkinson', 'Angie Atkinson']",13
